Title,Sub_title,Price in Euro per month,Features,Surface_area,No of rooms,Agent
Apartment Brittenburg 5,1082 BS Amsterdam (Buitenveldert-West),1850,Furnished,67,3,Koops Makelaardij Amstelveen
Apartment Kromme-Mijdrechtstraat,1079 KP Amsterdam (Rijnbuurt),2950,Upholstered,75,3,Infinitas Real Estate
Apartment Van Beuningenstraat 3 A,1051 XC Amsterdam (Staatsliedenbuurt),2200,Furnished,80,4,JLG Real Estate
Apartment Rustenburgerstraat 146 A20,1073 GJ Amsterdam (Nieuwe Pijp),2300,Furnished,55,3,ViaDaan
Apartment Oostenburgervoorstraat 292,1018 MR Amsterdam (Oostelijke Eilanden/Kadijken),3100,Furnished,100,3,Van Huis Uit Makelaars
House Eerste Jan van der Heijdenstraat 53 A,1072 TK Amsterdam (Oude Pijp),3000,Furnished,102,3,AmsterHomes
Apartment Plantage Muidergracht 55 4,1018 TM Amsterdam (Weesperbuurt/Plantage),1990,Upholstered or furnished,65,2,HousingNet
Apartment Oostenburgervoorstraat,1018 MN Amsterdam (Oostelijke Eilanden/Kadijken),3250,Furnished,130,4,Expathousing.com (Amsterdam)
Apartment Pekelharingstraat 11 1,1097 HH Amsterdam (Frankendael),1800,Furnished,58,2,Amsterdam Housing
House Leeuwendalersweg 741,1061 BK Amsterdam (De Kolenkit),2300,Furnished,101,3,Inter Immo Amsterdam
Apartment Lindengracht,1015 KJ Amsterdam (Jordaan),4500,Upholstered,210,6,"Urban Homies,                                                                                 Haagen & Partners"
Apartment Hendrik Jacobszstraat,1075 PD Amsterdam (Willemspark),2850,Upholstered,112,4,BrinkBorgh Makelaardij
House Genhoes 4,1082 BC Amsterdam (Buitenveldert-West),14000,Upholstered,342,8,Broersma Makelaardij
Apartment Minervalaan 33 H,1077 NL Amsterdam (Apollobuurt),4450,Upholstered,164,7,De Graaf & Groot Makelaars
Apartment Bella Vistastraat,1096 GM Amsterdam (Omval/Overamstel),3250,Furnished,116,4,Expat Rentals Amsterdam
Apartment Maarten Jansz. Kosterstraat,1017 VZ Amsterdam (De Weteringschans),2950,Furnished,115,4,Housing Experts
Studio Ferdinand Bolstraat,1072 LJ Amsterdam (Oude Pijp),1800,²1 room,40,1,My Amsterdam Apartments
Apartment Amstel 298 L,1017 AN Amsterdam (De Weteringschans),2250,Upholstered,63,3,Parker & Williams Real Estate Services
Apartment Saxenburgerstraat,1054 KM Amsterdam (Overtoomse Sluis),3500,Furnished,116,4,Inter Immo Amsterdam
Apartment Nieuwe Leliestraat,1015 SX Amsterdam (Jordaan),2450,Furnished,73,2,Inter Immo Amsterdam
Apartment Kromme-Mijdrechtstraat,1079 KP Amsterdam (Rijnbuurt),2350,Furnished,80,2,HB Housing
Apartment Van Tuyll van Serooskerkenweg 62 1,1076 JN Amsterdam (Stadionbuurt),2400,Furnished,80,3,ViaDaan
Apartment Waterlandplein,1024 NB Amsterdam (Waterlandpleinbuurt),2000,Furnished,100,4,HB Housing
Apartment Utrechtsestraat,1017 VP Amsterdam (Grachtengordel-Zuid),2600,Upholstered,110,4,Aham Vastgoed
Apartment Brouwersgracht,1013 HC Amsterdam (Haarlemmerbuurt),3000,Furnished,101,3,Brixt
Apartment J.F. van Hengelstraat,1019 DC Amsterdam (Oostelijk Havengebied),2795,Upholstered,140,3,A Plus Apartments
House Keverberg,1082 BD Amsterdam (Buitenveldert-West),3950,Upholstered,170,5,First Class Housing
Apartment Arent Janszoon Ernststraat 43,1083 GP Amsterdam (Buitenveldert-Oost),2950,Furnished,135,4,The Brick Club
Apartment Amstel,1018 ES Amsterdam (Weesperbuurt/Plantage),3500,Furnished,82,3,Visch & Van Zeggelaar Amsterdam
Apartment Vierwindenstraat,1013 LA Amsterdam (Haarlemmerbuurt),7500,Furnished,236,9,Peters & Partners
House Adriënne Solserhof 2,1087 MT Amsterdam (IJburg Zuid),3750,Upholstered,176,4,KK Amsterdam
Apartment Venetiëhof 67,1019 NB Amsterdam (Oostelijk Havengebied),2250,Furnished,102,4,The Rental Agency Amsterdam
Apartment Prinsengracht 1069,1017 JG Amsterdam (Grachtengordel-Zuid),3750,Upholstered,142,3,AmsterHomes
Apartment Anna Blamansingel,"1102 ST Amsterdam (Bijlmer Centrum (D,F,H))",2450,²3 rooms2006,102,3,NGH Real Estate B.V.
Apartment Rustenburgerstraat 146 A20,1073 GJ Amsterdam (Nieuwe Pijp),2300,Furnished,55,3,ViaDaan
Apartment Grote Bickersstraat 23 H,1013 KN Amsterdam (Haarlemmerbuurt),2200,Furnished,62,2,ViaDaan
Apartment Herengracht 132 E,1015 BV Amsterdam (Grachtengordel-West),7500,Upholstered,162,3,AmsterHomes
Apartment Gelrestraat,1079 MZ Amsterdam (Scheldebuurt),1725,²2 rooms2015,55,2,Wooove B.V.
Apartment Eef Kamerbeekstraat 302,1095 MP Amsterdam (Zeeburgereiland/Nieuwe Diep),2500,Upholstered,126,4,Amsterdam Housing
Apartment Keizersgracht,1017 EB Amsterdam (Grachtengordel-Zuid),2450,Furnished,42,3,Hausing
Apartment Rapenburgerstraat,1011 MK Amsterdam (Nieuwmarkt/Lastage),2600,Furnished,90,3,First Class Housing
Apartment John Franklinstraat,1056 TA Amsterdam (Van Galenbuurt),1400,Furnished,65,2,Urban Short Stay
Apartment Ferguutstraat,1055 SZ Amsterdam (Erasmuspark),2050,Upholstered,100,5,CITYHOP Real Estate
Apartment Hofgeest 15,"1102 EA Amsterdam (Bijlmer Centrum (D,F,H))",1450,Upholstered,90,4,Heimstaden
Apartment Kribbestraat,1079 WV Amsterdam (Rijnbuurt),2150,Upholstered,58,3,BrinkBorgh Makelaardij
Apartment Dever 16,1082 BJ Amsterdam (Buitenveldert-West),1550,Upholstered,65,3,Heimstaden
Apartment Amstelveenseweg,1075 XR Amsterdam (Schinkelbuurt),2750,Furnished,92,4,Clairesrealestate
Apartment Vierwindenstraat,1013 CW Amsterdam (Haarlemmerbuurt),2300,Upholstered or furnished,95,3,BrinkBorgh Makelaardij
Apartment Cornelis Schuytstraat,1071 JH Amsterdam (Museumkwartier),4250,²,142,4,Ramón Mossel Makelaardij
Apartment Egelantiersstraat,1015 PP Amsterdam (Jordaan),2250,Upholstered,80,2,Amsterdam Rental Homes
Apartment Wilhelminastraat,1054 WS Amsterdam (Overtoomse Sluis),1950,Furnished,75,2,HB Housing
Apartment Vrijheidslaan 75 2,1079 KG Amsterdam (Rijnbuurt),2500,²3 rooms1921,65,3,KNAP Makelaardij
Apartment Oldengaarde 87,1083 TE Amsterdam (Buitenveldert-Oost),1850,Upholstered,80,3,Parker & Williams Real Estate Services
Apartment Kuipersstraat 4 C,1074 EK Amsterdam (Nieuwe Pijp),3750,Furnished,132,4,Expat Rentals
Apartment Korte Koningsstraat 14 bgg,1011 GA Amsterdam (Nieuwmarkt/Lastage),2100,Furnished,120,2,Amsterdam Housing
Apartment Nieuwe Oostenburgerstraat 1 D,1018 MB Amsterdam (Oostelijke Eilanden/Kadijken),3000,²,120,5,Rent a Stone
Apartment Veembroederhof 177,1019 HD Amsterdam (Oostelijk Havengebied),3000,Furnished,146,3,Van Huis Uit Makelaars
Apartment Oostenburgervoorstraat,1018 MR Amsterdam (Oostelijke Eilanden/Kadijken),3100,Furnished,100,3,Expats. Amsterdam Rentals
Apartment Okeghemstraat 35,1075 PL Amsterdam (Willemspark),3950,²,120,4,DSTRCT Amsterdam
Apartment Silodam,1013 AW Amsterdam (Houthavens),2950,Furnished,135,5,Huisportaal.nl
Apartment Rijnsburgstraat,1059 AV Amsterdam (Hoofddorppleinbuurt),2250,Furnished,80,3,HB Housing
Apartment Buiten Vissersstraat,1013 GB Amsterdam (Haarlemmerbuurt),2250,Upholstered or furnished,49,2,123makelaar
Apartment Hoofdweg,1058 BC Amsterdam (Westindische Buurt),3500,Upholstered,155,6,Out Amsterdam
Apartment Korte Prinsengracht 46 A,1013 GT Amsterdam (Haarlemmerbuurt),4675,²,170,5,Broersma Makelaardij
Apartment Frans van Mierisstraat,1071 RR Amsterdam (Museumkwartier),2750,Furnished,100,3,House of Amsterdam
Apartment Rustenburgerstraat 146 A20,1073 GJ Amsterdam (Nieuwe Pijp),2300,Furnished,55,3,ViaDaan
Apartment Westerdoksdijk 327,1013 AD Amsterdam (Haarlemmerbuurt),2650,Furnished,85,3,Parker & Williams Real Estate Services
House Nieuwe Keizersgracht 14 G,1018 DR Amsterdam (Weesperbuurt/Plantage),2450,Upholstered or furnished,50,2,Amsterdam Housing
Apartment Palmgracht 103,1015 HL Amsterdam (Jordaan),1800,Furnished,58,3,ViaDaan
Apartment Van Baerlestraat 44,1071 AZ Amsterdam (Museumkwartier),2650,Upholstered,70,3,The Rental Agency Amsterdam
House Oostenburgervoorstraat,1018 MN Amsterdam (Oostelijke Eilanden/Kadijken),2000,²4 rooms2011-2020,110,4,Rebid
Apartment Marcusstraat 117,1091 TJ Amsterdam (Weesperzijde),2900,Furnished,117,4,JLG Real Estate
Apartment Montfoorthof 53,1106 JN Amsterdam (Holendrecht/Reigersbos),1650,Furnished,72,3,Linger OG
Apartment Beysterveld,1083 KA Amsterdam (Buitenveldert-Oost),2750,Furnished,110,3,Housing Experts
Apartment Van Hallstraat,1051 GX Amsterdam (Staatsliedenbuurt),2150,Furnished,50,2,123Wonen Amsterdam
Apartment Marskramerstraat,1033 WG Amsterdam (Oostzanerwerf),3200,²6 rooms2007,196,6,Rebid
Apartment Albert Cuypstraat,1072 CN Amsterdam (Oude Pijp),2650,Upholstered,100,3,Interhouse verhuurmakelaars Amsterdam
Apartment Keizersgracht,1017 ES Amsterdam (Grachtengordel-Zuid),2750,Furnished,78,2,Rotsvast Amsterdam
Apartment Da Costakade,1053 XE Amsterdam (Van Lennepbuurt),3650,Furnished,130,4,Amsterdam Beautiful Property Rental
Apartment Keizersgracht,1017 ES Amsterdam (Grachtengordel-Zuid),2750,Furnished,80,2,Rotsvast Amsterdam
Apartment Pieter de Hoochstraat,1071 ED Amsterdam (Museumkwartier),3700,Furnished,130,3,4-Freedom | Vastgoedbeheer
House Eef Kamerbeekpad 1,1095 MZ Amsterdam (Zeeburgereiland/Nieuwe Diep),3500,Upholstered or furnished,160,5,HousingNet
Apartment Hogewerf,1082 NG Amsterdam (Buitenveldert-Oost),2250,Furnished,85,2,Houses4let
Apartment Overamstelstraat,1091 TM Amsterdam (Weesperzijde),2095,Furnished,80,3,A Plus Apartments
Apartment Tweede Kostverlorenkade 137 3,1053 SE Amsterdam (Van Lennepbuurt),1995,Upholstered,62,3,ViaDaan
House Akerpolderstraat,1066 ET Amsterdam (Sloter-/Riekerpolder),3500,Upholstered,169,6,Brixt
House Pijlkruidstraat 1,1087 CE Amsterdam (IJburg West),2750,Upholstered,135,5,Yourhome Makelaars
Apartment Rie Mastenbroekstraat 47,1095 MJ Amsterdam (Zeeburgereiland/Nieuwe Diep),1750,Upholstered or furnished,70,3,IB Makelaars
Apartment Derde Schinkelstraat 4 A,1075 TL Amsterdam (Schinkelbuurt),2650,Upholstered,70,4,Listings
Apartment Tweede Jan van der Heijdenstraat 3 H,1073 VE Amsterdam (Oude Pijp),6000,Furnished,149,5,Lankhorst Makelaars
Apartment Keizersgracht,1017 DL Amsterdam (Grachtengordel-Zuid),3450,Furnished,120,3,Interhouse verhuurmakelaars Amsterdam
Apartment H. Diesveldsingel,1060 RL Amsterdam (Middelveldsche Akerpolder),1750,Furnished,100,3,Expathousing.com (Amsterdam)
Apartment Borneostraat,1094 CJ Amsterdam (Indische Buurt West),2200,Furnished,107,3,The Rental Agency Amsterdam
Apartment Jan van Galenstraat 183 1,1056 BS Amsterdam (Van Galenbuurt),1650,Upholstered,50,2,The Tenants Group
Apartment Céramiquelaan,1031 KG Amsterdam (Noordelijke IJ-oevers West),4000,Furnished,110,4,I-housing
Apartment Nieuwezijds Voorburgwal 255,1012 RL Amsterdam (Burgwallen-Nieuwe Zijde),2650,Upholstered,111,3,Broersma Makelaardij
Apartment Rustenburgerstraat 146 A20,1073 GJ Amsterdam (Nieuwe Pijp),2300,Furnished,55,3,ViaDaan
Apartment Haparandaweg,1013 BD Amsterdam (Houthavens),1750,Furnished,50,2,Expats. Amsterdam Rentals
Apartment Maria Austriastraat,1087 CN Amsterdam (IJburg West),2350,Furnished,130,4,Expats. Amsterdam Rentals
Apartment Lucellestraat,1055 HX Amsterdam (Landlust),2000,Upholstered,59,3,First Class Housing
Apartment Jacob van Lennepkade,1054 ZG Amsterdam (Helmersbuurt),1950,Furnished,56,2,The Perfect House
Apartment Van Tuyll van Serooskerkenweg 110 3,1076 JR Amsterdam (Stadionbuurt),4250,Furnished,125,5,Koops Makelaardij Amsterdam
Apartment Cornelis Schuytstraat 25 2+3,1071 JD Amsterdam (Museumkwartier),3950,Upholstered,150,4,Prinsen Residence International
Apartment Saxen-Weimarlaan,1075 BZ Amsterdam (Willemspark),2750,Upholstered,90,3,Aham Vastgoed
Apartment Nieuwe Leliestraat,1015 SP Amsterdam (Jordaan),2750,Furnished,73,3,Inter Immo Amsterdam
Apartment Grootzeil,1034 LV Amsterdam (Banne Buiksloot),2250,Furnished,93,4,123Wonen Amsterdam
House Johannes Verhulststraat 151 H,1075 GW Amsterdam (Willemspark),11000,Upholstered,255,10,Hoen Vastgoedbeheer
Apartment S. F. van Ossstraat,1068 JN Amsterdam (Osdorp-Oost),1550,Furnished,55,2,Expats. Amsterdam Rentals
Apartment Sarphatipark,1073 CZ Amsterdam (Nieuwe Pijp),3000,Upholstered,88,3,Amstel Vastgoed
Apartment Geldersekade 45 A,1011 EJ Amsterdam (Nieuwmarkt/Lastage),1600,²1 room1735,46,1,Rent a Stone
Apartment Singel 436 E,1017 AV Amsterdam (Grachtengordel-Zuid),3250,Upholstered or furnished,140,3,Amsterdam Housing
Apartment John Blankensteinstraat 59 1,1095 MB Amsterdam (Zeeburgereiland/Nieuwe Diep),1450,Upholstered or furnished,48,3,ViaDaan
House Schapenburgerpad 20,1071 ZA Amsterdam (Museumkwartier),4000,Upholstered or furnished,198,6,Ter Haar Makelaars B.V.
Apartment Prinsengracht 689 4,1017 JV Amsterdam (Grachtengordel-Zuid),2250,Furnished,65,2,DSTRCT Amsterdam
Apartment Korte Ouderkerkerdijk 1 C1,1096 AC Amsterdam (Omval/Overamstel),3850,²3 rooms2021,139,3,Broersma Makelaardij
Apartment Gustav Mahlerlaan 359,1082 MK Amsterdam (Zuidas),5850,Upholstered or furnished,132,3,Engel en Volkers Amsterdam
Apartment Nassaukade 123 III,1052 EC Amsterdam (Frederik Hendrikbuurt),3250,²4 rooms1910,108,4,KNAP Makelaardij
Apartment Gustav Mahlerplein 285 PH,1082 MS Amsterdam (Zuidas),8000,Furnished,193,4,Broersma Makelaardij
Apartment Nieuwe Prinsengracht,1018 XH Amsterdam (Weesperbuurt/Plantage),1950,Furnished,90,2,City Homes
Apartment Wiborgeiland,1014 ZC Amsterdam (Houthavens),2975,Upholstered,100,3,City Homes
Apartment Prinsengracht,1017 JV Amsterdam (Grachtengordel-Zuid),3000,Upholstered,110,3,Hollandsche Makelaardij
Apartment Rustenburgerstraat 146 A20,1073 GJ Amsterdam (Nieuwe Pijp),2300,Furnished,55,3,ViaDaan
Apartment Valeriusplein 26 3,1075 BH Amsterdam (Willemspark),4000,Furnished,85,3,DSTRCT Amsterdam
Apartment Tweede Jan Steenstraat 25 H,1073 VL Amsterdam (Oude Pijp),2675,Furnished,83,3,Huizenbalie.nl
Apartment Van Baerlestraat 14 3,1071 AW Amsterdam (Museumkwartier),3200,Upholstered,162,4,Amsterdamse Maatschappij
Apartment Tommaso Albinonistraat 166,1083 HM Amsterdam (Zuidas),5000,Upholstered,197,5,JLG Real Estate
Apartment Den Texstraat 8 B,1017 ZA Amsterdam (De Weteringschans),3950,Furnished,126,3,Consilium BV
Apartment Rustenburgerstraat 146 A20,1073 GJ Amsterdam (Nieuwe Pijp),2300,Furnished,55,3,ViaDaan
Apartment Papaverweg,1032 KH Amsterdam (Volewijck),1395,Upholstered,40,2,A&N Vastgoed
Apartment Johannes Verhulststraat,1071 NE Amsterdam (Museumkwartier),3200,Upholstered,135,5,Rotsvast Amsterdam
Apartment Nieuwendijk,1012 MP Amsterdam (Burgwallen-Nieuwe Zijde),3000,Furnished,92,3,The Perfect House
Apartment Keizersgracht 391 E,1016 EJ Amsterdam (Grachtengordel-West),2700,Upholstered,109,4,LIV Residential
House Le Tourmalet 26,1060 NX Amsterdam (Middelveldsche Akerpolder),2000,Furnished,134,4,Amsterdam Housing
Apartment Herengracht,1015 BA Amsterdam (Grachtengordel-West),3250,Furnished,132,5,BIC Makelaardij
Apartment Ruysdaelkade 15 II,1072 AG Amsterdam (Oude Pijp),3450,Upholstered,101,4,Alcoco.nl
Apartment Leliegracht 25 B,1016 GR Amsterdam (Grachtengordel-West),2850,²,92,3,Ter Haar Makelaars B.V.
Apartment Bilderdijkkade,1053 VK Amsterdam (Van Lennepbuurt),2700,Furnished,115,2,RE/MAX Pro
Apartment Wilhelminastraat,1054 VW Amsterdam (Helmersbuurt),1750,Upholstered,60,2,Expats. Amsterdam Rentals
Apartment Solitudolaan,1096 DS Amsterdam (Omval/Overamstel),6500,²,204,7,Mar. J. Heule
Apartment Weteringschans,1017 RZ Amsterdam (De Weteringschans),2800,Upholstered or furnished,83,4,Amsterdam Sotheby's International Realty
Apartment Bloemstraat 13 B,1016 KV Amsterdam (Jordaan),2850,Furnished,78,3,Broersma Makelaardij
House Lindenstraat 3,1015 KV Amsterdam (Jordaan),4500,Upholstered or furnished,144,9,De Graaf & Groot Makelaars
Apartment Tollensstraat 63 C,1053 RS Amsterdam (Kinkerbuurt),1550,²2 rooms1906-1930,40,2,Hoen Vastgoedbeheer
Apartment Van Oldenbarneveldtstraat,1052 JX Amsterdam (Frederik Hendrikbuurt),1450,²3 rooms1906-1930,50,3,Rebid
Apartment Vincent van Goghstraat,1072 KZ Amsterdam (Nieuwe Pijp),1500,²2 rooms1923,50,2,Rebid
Apartment P. Hans Frankfurthersingel,1060 TN Amsterdam (Middelveldsche Akerpolder),1650,²3 rooms2004,78,3,BenS Makelaars
Apartment Baarsjesweg,1058 AD Amsterdam (Westindische Buurt),2500,Furnished,50,2,Amsterdam Rentals
Apartment Rooseveltlaan,1079 AB Amsterdam (Scheldebuurt),2800,Upholstered,143,5,BrinkBorgh Makelaardij
Apartment Haparandaweg,1013 BD Amsterdam (Houthavens),1488,²1 room2022,49,1,Wooove B.V.
Apartment Osdorpplein,1068 TD Amsterdam (Osdorp-Oost),1900,²3 rooms2021-2030,73,3,Rebid
Apartment Rustenburgerstraat 145,1073 EX Amsterdam (Nieuwe Pijp),2450,Upholstered,87,3,Amsterdam Wonen
Apartment Herengracht 579 3,1017 CD Amsterdam (Grachtengordel-Zuid),3950,Upholstered or furnished,110,3,Parker & Williams Real Estate Services
Apartment IJburglaan,1087 CE Amsterdam (IJburg West),2800,Furnished,110,2,Michiel Stolker Real Estate
Apartment Koningslaan 24 II,1075 AD Amsterdam (Willemspark),3950,Upholstered,83,3,De Graaf & Groot Makelaars
Apartment Van Boshuizenstraat,1082 AR Amsterdam (Buitenveldert-Oost),2450,Furnished,102,3,Evers Makelaardij & Taxateurs
Apartment Osdorper Ban,1069 GA Amsterdam (Osdorp-Midden),2195,Furnished,95,3,Expathousing.com (Amsterdam)
Apartment Leidsegracht,1016 CR Amsterdam (Jordaan),2950,Furnished,106,3,Engel en Volkers Amsterdam Centrum
Apartment Waldeck Pyrmontlaan 20 2RV,1075 BX Amsterdam (Willemspark),3250,²6 rooms1906-1930,180,6,Rappange Makelaardij
Apartment Rustenburgerstraat 146 A20,1073 GJ Amsterdam (Nieuwe Pijp),2300,Furnished,55,3,ViaDaan
Apartment Rijnstraat 222 1,1079 HV Amsterdam (Rijnbuurt),2250,²2 rooms1934,83,2,Beekman makelaardij o.g. b.v.
Apartment Parnassusweg,1077 DE Amsterdam (Prinses Irenebuurt e.o.),2750,²4 rooms1967,100,4,Brummel & Beuk Makelaars
Apartment Planciusstraat,1013 MD Amsterdam (Haarlemmerbuurt),3250,Furnished,157,3,Grand Apartments Amsterdam
Apartment Damstraat 1 E,1012 JL Amsterdam (Burgwallen-Oude Zijde),4000,Furnished,100,3,Prinsen Residence International
Apartment Nieuwe Keizersgracht 63 A,1018 VD Amsterdam (Weesperbuurt/Plantage),3500,Furnished,140,5,De la Haye Makelaardij O.G.
Apartment Koningslaan 24 C,1075 AD Amsterdam (Willemspark),3950,Upholstered,83,3,Amsterdam Housing
Apartment Westerstraat,1015 LZ Amsterdam (Jordaan),1950,Upholstered,50,2,V-Amsterdam
Apartment Keizersgracht 680 II+III,1017 ET Amsterdam (Grachtengordel-Zuid),3950,Before 1906,125,3,Peter Bruin Makelaardij
Apartment Alexander Boersstraat 31 I,1071 KV Amsterdam (Museumkwartier),2500,Upholstered or furnished,61,2,Ter Haar Makelaars B.V.
Apartment Koninginneweg,1075 CT Amsterdam (Willemspark),4000,Furnished,147,4,Inter Immo Amsterdam
Apartment Borneostraat,1094 CJ Amsterdam (Indische Buurt West),2500,Upholstered,142,4,Klok Real Estate
Apartment Stadionweg,1077 TA Amsterdam (Apollobuurt),3000,²3 rooms1931-1944,120,3,Heeren Makelaars B.V.
Apartment Sarphatistraat,1018 GK Amsterdam (Weesperbuurt/Plantage),4950,Furnished,142,5,Eefje Voogd Makelaardij
Apartment Rozengracht,1016 SZ Amsterdam (Jordaan),2500,Furnished,80,2,Expats. Amsterdam Rentals
Apartment Singel,1016 AC Amsterdam (Grachtengordel-West),3450,Furnished,105,4,Keizerskroon makelaars
Apartment Graafschapstraat,1079 PE Amsterdam (Scheldebuurt),1855,²3 rooms2016,73,3,Wooove B.V.
Apartment Herengracht 132 C,1015 BV Amsterdam (Grachtengordel-West),10500,Upholstered or furnished,190,4,AmsterHomes
Apartment Keizersgracht 114,1015 CV Amsterdam (Grachtengordel-West),3000,Furnished,80,4,Oei Housing Amsterdam - Expat Apartments
Apartment Vondelstraat,1054 GE Amsterdam (Vondelbuurt),2950,²3 rooms1870,125,3,Von Poll Real Estate - Centrum
Apartment Johannes Verhulststraat 224 H,1075 HG Amsterdam (Willemspark),4000,Upholstered,140,5,De Graaf & Groot Makelaars
Apartment Titiaanstraat,1077 RL Amsterdam (Apollobuurt),4500,²,171,7,Von Poll Real Estate - Centrum
Apartment Beethovenstraat,1077 JP Amsterdam (Apollobuurt),3800,Furnished,134,3,Brixt
Apartment Duke Ellingtonstraat,1066 GE Amsterdam (Sloter-/Riekerpolder),2150,Furnished,94,1,123Wonen Amsterdam
House Prinsengracht 516,1017 KJ Amsterdam (De Weteringschans),13500,Upholstered,536,5,Vastgoed Unie Makelaardij
Apartment Tweede Oosterparkstraat 184 H,1092 BT Amsterdam (Oosterparkbuurt),2100,Upholstered,84,3,The Tenants Group
Apartment Roerstraat,1078 LL Amsterdam (Scheldebuurt),2300,Furnished,75,3,The Tenants Group
Apartment Geschutswerf,1018 AW Amsterdam (Oostelijke Eilanden/Kadijken),3495,Furnished,170,4,City Homes
Apartment Uiterwaardenstraat,1079 DD Amsterdam (Scheldebuurt),3250,²,120,4,Ramón Mossel Makelaardij
Apartment Orteliusstraat 221 3,1056 NR Amsterdam (Van Galenbuurt),1850,Furnished,60,2,ViaDaan
House Simon Stevinstraat 33 hs,1097 BX Amsterdam (Frankendael),3250,Upholstered,138,5,27 Huis Makelaars
Apartment Rustenburgerstraat 146 A20,1073 GJ Amsterdam (Nieuwe Pijp),2300,Furnished,55,3,ViaDaan
Apartment Olympiaplein 19 BV,1077 CK Amsterdam (Apollobuurt),4500,Upholstered,200,6,Parker & Williams Real Estate Services
Apartment Jan Luijkenstraat,1071 CS Amsterdam (Museumkwartier),5000,Furnished,236,4,NOORESTATE
Apartment Van Baerlestraat 72 D,1071 BA Amsterdam (Museumkwartier),3500,Upholstered,150,3,Apollo Makelaardij
Apartment Minervalaan,1077 PK Amsterdam (Apollobuurt),3950,Upholstered,140,3,"City Homes,                                                                                 Hakkenbroek Housing Company"
Apartment Keizersgracht 734 C,1017 EW Amsterdam (Grachtengordel-Zuid),3250,Upholstered,136,3,27 Huis Makelaars
Apartment Vossiusstraat 39 hs,1071 AH Amsterdam (Museumkwartier),7000,Upholstered,260,7,Dutch Housing Centre BV
Apartment Herengracht,1017 CD Amsterdam (Grachtengordel-Zuid),5400,Furnished,125,3,Prestige Housing
Apartment Lodewijk van Deysselstraat,1067 CJ Amsterdam (Geuzenveld),1160,²3 rooms2021,83,3,Wooove B.V.
House Valeriusplein,1075 BJ Amsterdam (Willemspark),8000,Upholstered,366,6,Inter Immo Amsterdam
Apartment Nicolaas Witsenkade,1017 ZS Amsterdam (De Weteringschans),7950,Furnished,200,6,Koops Makelaardij Amsterdam
House Bongerdkade,1036 LZ Amsterdam (Tuindorp Oostzaan),3100,Furnished,150,5,020Apartment
Apartment Keizersgracht,1017 EM Amsterdam (Grachtengordel-Zuid),10750,Furnished,320,7,Von Poll Real Estate - Zuidas
Apartment Singel 91 E,1012 VG Amsterdam (Burgwallen-Nieuwe Zijde),2850,Furnished,110,2,Amsterdam Housing
Apartment Valeriusstraat 24 hs,1071 MJ Amsterdam (Museumkwartier),4750,Upholstered,148,5,Dutch Housing Centre BV
Apartment Kerkstraat,1017 HW Amsterdam (Grachtengordel-Zuid),5000,Furnished,120,3,Expats. Amsterdam Rentals
Apartment Koningin Wilhelminaplein,1062 KS Amsterdam (Westlandgracht),1665,²2 rooms2016,64,2,Wooove B.V.
Apartment IJselstraat 87 H,1078 CG Amsterdam (IJselbuurt),1875,Upholstered,50,3,Expat Rental Scout
Apartment Eerste Schinkelstraat 23 H,1075 TV Amsterdam (Schinkelbuurt),3950,Upholstered,150,4,Amsterdam Housing
House Van Breestraat 139 hs,1071 ZL Amsterdam (Museumkwartier),4950,Upholstered,140,5,Dutch Housing Centre BV
Apartment Spuistraat 257 D,1012 VR Amsterdam (Burgwallen-Nieuwe Zijde),2750,Upholstered,60,4,Smit & Heinen Makelaars en Taxateurs
Apartment Wagenstraat,1017 CZ Amsterdam (Grachtengordel-Zuid),3100,Upholstered,90,3,Rotsvast Amsterdam
Apartment De Lairessestraat 172 B,1075 HM Amsterdam (Willemspark),2950,Furnished,84,3,Oei Housing Amsterdam - Expat Apartments
Apartment Laan der Hesperiden 16 H,1076 DK Amsterdam (Stadionbuurt),3500,Upholstered,127,3,huishuren.nu
Apartment Plantage Middenlaan,1018 DA Amsterdam (Weesperbuurt/Plantage),2950,Upholstered,140,4,Rotsvast Amsterdam
Apartment Oosterpark 62 I,1092 AR Amsterdam (Oosterparkbuurt),3000,Furnished,85,3,EHR Amsterdam
Apartment Oosterpark 62 II,1092 AR Amsterdam (Oosterparkbuurt),3000,Furnished,85,3,EHR Amsterdam
Apartment Stadionweg 140 I,1077 SX Amsterdam (Apollobuurt),3000,Upholstered,111,4,Dutch Housing Centre BV
Apartment Kleiburg,"1104 EA Amsterdam (Bijlmer Oost (E,G,K))",2095,Furnished,132,4,HouseHunting Randstad
Apartment Geschutswerf 63,1018 AW Amsterdam (Oostelijke Eilanden/Kadijken),3500,²2 rooms1840,164,2,DSTRCT Amsterdam
Apartment Oudeschans 18 III,1011 LA Amsterdam (Nieuwmarkt/Lastage),3500,Furnished,100,3,De la Haye Makelaardij O.G.
Apartment Rustenburgerstraat 146 A20,1073 GJ Amsterdam (Nieuwe Pijp),2300,Furnished,55,3,ViaDaan
Apartment Groenburgwal 14 IV,1011 HV Amsterdam (Nieuwmarkt/Lastage),4400,Furnished,189,3,Makelaarskantoor Carla van den Brink
House Troelstralaan,1067 MX Amsterdam (Geuzenveld),2600,Furnished,110,4,Amsterdam Property Renting
